ax,ay,az,gx,gy,gz,magnitude,whip,timestamp
0.682,0.063,-0.342,-64.514,148.193,-92.163,0.765,-18.92,1773811342063
0.519,-0.006,-0.430,-107.910,126.709,-47.241,0.674,-12.45,1773811342085
0.389,0.100,-0.528,-157.349,109.192,-9.827,0.663,-8.06,1773811342114
0.157,0.148,-0.757,-201.355,92.529,28.564,0.787,-3.86,1773811342177
0.071,0.312,-0.947,-186.768,64.636,59.814,1.000,0.14,1773811342205
-0.146,0.230,-1.098,-179.565,45.471,103.149,1.132,3.66,1773811342237
-0.411,0.230,-1.169,-250.000,58.838,127.441,1.260,5.86,1773811342296
-0.480,-0.033,-1.088,-283.569,72.388,143.921,1.190,5.26,1773811342324
-0.696,-0.390,-0.967,-284.485,86.853,145.386,1.253,4.67,1773811342354
-0.787,-0.883,-0.794,-224.854,103.577,135.498,1.425,4.25,1773811342475
-0.929,-0.495,-0.572,-37.903,74.097,131.348,1.199,0.67,1773811342477
-0.691,-0.629,-0.527,39.856,33.264,93.628,1.073,-1.87,1773811342479
-0.629,-0.667,-0.555,-0.916,25.574,55.786,1.072,-1.18,1773811342538
-0.631,-0.797,-0.308,-46.021,29.968,30.518,1.063,-1.91,1773811342565
-0.546,-0.821,-0.278,-62.561,27.527,29.480,1.024,-4.01,1773811342595
-0.550,-0.572,-0.327,-105.774,14.771,15.686,0.858,-3.40,1773811342657
-0.556,-0.885,-0.249,-99.487,-11.780,5.371,1.074,0.01,1773811342685
-0.475,-0.942,-0.108,0.183,-46.631,12.634,1.061,-0.11,1773811342715
-0.418,-0.790,-0.161,-109.314,-49.927,25.818,0.908,-1.55,1773811342776
-0.450,-1.024,-0.411,-95.520,-64.819,36.011,1.191,1.67,1773811342804
-0.505,-0.928,-0.179,-5.615,-77.393,56.458,1.072,2.14,1773811342835
-0.385,-0.989,-0.089,-82.397,-74.463,53.894,1.064,-0.09,1773811342898
-0.164,-1.101,-0.122,-59.570,-82.214,50.415,1.120,0.59,1773811342925
-0.133,-1.079,-0.123,-17.578,-89.111,40.649,1.095,1.87,1773811342956
-0.083,-1.088,-0.163,-8.728,-85.815,29.663,1.103,-0.88,1773811343017
-0.139,-0.855,0.010,-57.678,-63.477,9.399,0.866,-2.06,1773811343044
-0.172,-1.141,-0.019,-160.156,-30.762,-23.682,1.154,0.89,1773811343104
-0.245,-1.146,0.027,-142.090,-44.250,-23.193,1.172,0.52,1773811343136
-0.260,-1.042,0.026,-22.705,-74.097,-19.409,1.074,-0.21,1773811343164
-0.235,-0.949,0.026,48.279,-97.961,-22.827,0.979,-1.25,1773811343195
-0.165,-1.027,0.068,-46.692,-87.708,-26.123,1.043,1.77,1773811343258
-0.062,-1.149,0.117,-48.401,-91.064,-27.100,1.157,0.03,1773811343287
-0.162,-1.043,0.108,-52.612,-92.957,-30.640,1.061,-1.12,1773811343315
-0.294,-1.037,0.049,-66.711,-95.825,-33.813,1.079,0.05,1773811343378
-0.352,-0.979,0.060,-31.067,-105.041,-36.377,1.042,0.64,1773811343404
-0.349,-0.994,0.126,-42.175,-100.220,-36.987,1.061,0.18,1773811343436
-0.364,-1.036,0.171,-67.749,-91.858,-36.987,1.111,-0.46,1773811343496
-0.350,-1.052,0.194,-74.951,-87.830,-37.720,1.126,0.65,1773811343524
-0.352,-1.018,0.143,-57.190,-89.233,-43.518,1.087,0.07,1773811343556
-0.310,-0.978,0.135,-75.317,-84.412,-51.636,1.035,-0.07,1773811343616
-0.293,-0.973,0.108,-76.477,-75.928,-49.866,1.022,-0.39,1773811343644
-0.237,-0.888,0.084,-86.121,-65.979,-43.335,0.923,-1.88,1773811343675
-0.227,-0.888,0.056,-99.182,-58.533,-31.250,0.918,-2.08,1773811343738
-0.211,-0.858,0.080,-102.539,-51.941,-14.404,0.887,-2.00,1773811343764
-0.159,-0.790,0.020,-107.727,-54.565,5.432,0.806,-2.29,1773811343794
-0.159,-0.792,-0.011,-72.144,-72.815,30.151,0.807,-2.14,1773811343856
-0.130,-0.783,-0.016,-60.974,-80.322,44.861,0.794,-1.29,1773811343888
-0.068,-0.834,-0.048,-26.428,-95.032,70.007,0.838,-0.80,1773811343916
-0.114,-0.928,0.013,-15.747,-104.553,90.027,0.935,0.48,1773811343976
-0.054,-1.030,-0.055,-44.189,-98.511,112.915,1.033,2.27,1773811344004
-0.018,-1.109,-0.337,-46.814,-100.037,123.779,1.160,3.52,1773811344037
0.107,-1.235,-0.534,-14.771,-93.384,120.789,1.350,5.56,1773811344095
0.263,-1.403,-0.706,7.507,-39.307,100.403,1.592,7.54,1773811344185
1.356,-1.495,-0.851,81.116,356.262,-21.912,2.191,12.56,1773811344214
2.137,-1.973,-0.679,86.853,641.296,-80.200,2.986,19.53,1773811344243
2.812,-3.016,-0.056,155.212,860.718,-148.438,4.124,29.64,1773811344307
3.477,-3.628,0.815,177.551,925.110,-217.468,5.091,37.41,1773811344339
3.245,-3.223,1.871,36.560,797.913,-361.084,4.941,33.49,1773811344366
2.210,-2.193,1.779,86.121,502.930,-425.354,3.586,13.95,1773811344425
1.820,-1.597,1.452,69.580,206.543,-421.631,2.823,-1.63,1773811344454
1.185,-1.029,1.131,117.737,0.610,-362.732,1.935,-21.89,1773811344485
0.925,-0.642,0.931,115.295,-108.337,-249.329,1.461,-36.30,1773811344550
0.630,-0.417,0.732,112.183,-127.197,-178.650,1.052,-38.89,1773811344578
0.414,-0.290,0.587,110.291,-122.192,-68.237,0.775,-28.12,1773811344605
0.222,-0.227,0.417,102.356,-111.267,-0.061,0.524,-23.00,1773811344677
-0.057,-0.313,0.333,100.464,-99.182,42.847,0.460,-14.74,1773811344694
-0.472,-0.266,0.054,78.308,-93.811,75.562,0.545,-9.16,1773811344727
-0.796,-0.391,0.025,46.021,-85.632,108.459,0.887,-1.65,1773811344785
-0.828,-0.531,-0.001,51.453,-73.914,140.198,0.983,2.09,1773811344844
-0.764,-0.692,-0.133,147.400,-76.294,154.846,1.039,5.16,1773811344846
-0.786,-0.710,-0.404,230.225,-94.604,152.832,1.134,6.73,1773811344907
-0.599,-0.803,-0.614,210.815,-100.464,132.996,1.175,6.30,1773811344938
-0.525,-0.793,-0.917,144.470,-82.520,110.168,1.321,4.34,1773811344965
-0.446,-0.850,-0.971,128.662,-59.937,95.154,1.365,3.82,1773811345027
-0.438,-0.664,-1.066,124.390,-38.147,91.431,1.330,2.91,1773811345056
-0.438,-0.416,-1.104,89.844,-24.048,82.458,1.259,1.25,1773811345084
-0.411,-0.178,-1.082,108.887,-28.442,72.144,1.171,-0.04,1773811345147
