ax,ay,az,gx,gy,gz,magnitude,timestamp
-1.658,0.419,-0.165,-63.904,-532.349,221.191,1.718,1773724747552
-2.417,0.440,0.138,-15.442,-729.370,128.418,2.461,1773724747575
-3.061,0.414,0.342,-3.723,-833.191,-90.698,3.108,1773724747605
-3.715,0.374,0.465,40.527,-796.143,-285.889,3.763,1773724747672
-3.619,0.301,0.460,43.152,-706.360,-460.266,3.661,1773724747697
-2.978,0.119,0.489,79.651,-516.541,-583.191,3.020,1773724747725
-2.309,-0.058,0.465,56.458,-188.049,-582.031,2.356,1773724747791
-1.715,-0.278,0.363,179.321,57.678,-501.892,1.775,1773724747816
-1.422,-0.366,0.173,249.512,269.287,-224.915,1.479,1773724747851
-1.547,-0.242,-0.009,305.237,349.426,36.926,1.566,1773724747910
-1.743,-0.036,-0.112,403.076,305.847,327.820,1.747,1773724747936
-1.949,0.196,-0.137,361.145,188.599,444.824,1.964,1773724747968
-1.779,0.315,-0.096,335.571,15.564,441.589,1.809,1773724748031
-1.411,0.347,-0.017,263.611,-74.585,281.555,1.453,1773724748055
-0.952,0.285,0.048,187.988,-75.500,181.152,0.995,1773724748086
-0.804,0.234,0.095,209.473,-65.125,39.978,0.843,1773724748147
-0.887,0.139,0.164,238.892,0.977,-24.719,0.913,1773724748176
-1.070,0.062,0.136,146.362,252.502,-28.442,1.080,1773724748205
-1.972,0.194,-0.072,154.480,480.591,29.907,1.983,1773724748298
-3.462,0.441,-0.200,349.060,531.738,243.713,3.495,1773724748361
-3.205,0.463,-0.276,315.369,385.132,224.731,3.250,1773724748387
-2.497,0.490,-0.408,252.258,196.472,272.644,2.577,1773724748418
-2.198,0.550,-0.455,118.408,-31.616,182.922,2.311,1773724748476
-1.875,0.442,-0.372,-9.460,-392.517,97.595,1.962,1773724748505
-2.346,0.380,-0.045,-118.530,-824.768,92.896,2.377,1773724748538
-4.000,0.443,0.452,-1.648,-1100.342,-41.748,4.050,1773724748599
-3.986,0.382,0.627,90.088,-1112.061,-293.640,4.053,1773724748626
-4.000,0.323,0.580,51.758,-949.707,-513.428,4.055,1773724748655
-4.000,0.219,0.522,46.021,-752.441,-643.799,4.040,1773724748718
-3.044,-0.011,0.558,142.578,-499.390,-676.575,3.095,1773724748745
-2.163,-0.223,0.498,167.480,-104.309,-587.158,2.231,1773724748775
-1.090,-0.534,0.396,299.744,165.039,-417.847,1.277,1773724748841
-1.363,-0.357,0.089,393.738,421.997,21.179,1.411,1773724748867
-2.197,0.025,-0.096,410.156,420.288,329.834,2.199,1773724748896
-2.230,0.209,-0.143,437.500,229.065,460.266,2.244,1773724748960
-2.064,0.334,-0.093,350.647,29.907,498.535,2.093,1773724748986
-1.538,0.360,-0.017,330.627,-163.147,311.218,1.579,1773724749019
-1.404,0.325,0.139,304.016,-219.666,133.362,1.448,1773724749079
-1.008,0.181,0.198,235.413,-96.252,-25.330,1.043,1773724749107
-0.962,-0.012,0.209,246.338,66.956,-60.181,0.984,1773724749136
-1.369,0.026,0.075,315.613,403.686,148.010,1.371,1773724749201
-3.021,0.310,-0.077,302.734,606.079,321.960,3.038,1773724749291
-3.915,0.577,-0.183,435.730,478.516,483.582,3.961,1773724749318
-3.000,0.620,-0.247,318.665,268.860,375.305,3.073,1773724749346
-2.245,0.621,-0.328,180.969,77.026,210.815,2.353,1773724749408
-1.771,0.601,-0.438,33.386,-106.628,-10.010,1.920,1773724749436
-1.606,0.355,-0.392,-80.994,-493.957,-219.543,1.691,1773724749468
-2.530,0.256,0.037,-245.483,-839.966,-185.303,2.543,1773724749528
-4.000,0.381,0.490,-140.747,-1057.495,-160.950,4.048,1773724749555
-3.988,0.328,0.591,-31.921,-1037.903,-350.037,4.045,1773724749584
-4.000,0.282,0.542,-4.517,-947.082,-462.219,4.046,1773724749652
-3.873,0.180,0.528,-7.019,-711.365,-517.151,3.913,1773724749675
-2.672,0.022,0.538,82.397,-453.247,-550.781,2.725,1773724749708
-1.115,-0.346,0.576,169.983,-148.743,-493.713,1.302,1773724749770
-1.288,-0.318,0.366,208.923,223.816,-270.874,1.376,1773724749800
-1.368,-0.217,0.067,286.560,397.095,-50.964,1.386,1773724749827
-2.141,0.081,-0.134,399.231,421.692,284.546,2.146,1773724749888
-1.940,0.218,-0.182,325.989,344.543,363.525,1.961,1773724749917
-2.063,0.361,-0.103,298.767,140.015,455.383,2.097,1773724749945
-1.537,0.367,-0.044,284.363,-11.475,274.536,1.581,1773724750008
-1.173,0.355,0.015,185.547,5.310,170.349,1.226,1773724750037
-1.068,0.317,0.044,160.828,47.852,-0.549,1.114,1773724750069
-1.136,0.182,0.037,208.862,71.045,-137.329,1.151,1773724750129
-1.361,0.079,0.068,224.487,177.673,-82.275,1.365,1773724750155
-1.770,0.129,-0.051,209.656,329.956,-43.884,1.776,1773724750188
-1.561,0.062,-0.159,357.178,310.425,39.429,1.570,1773724750253
-1.893,0.193,-0.197,295.776,342.102,177.856,1.913,1773724750306
-1.809,0.281,-0.250,331.909,225.586,196.045,1.848,1773724750308
-1.645,0.315,-0.207,271.667,151.611,172.913,1.688,1773724750368
-1.993,0.386,-0.126,194.031,110.229,160.217,2.034,1773724750396
-1.519,0.317,-0.244,146.057,118.896,-12.878,1.571,1773724750425
-2.132,0.271,-0.177,108.704,84.717,-68.970,2.156,1773724750489
-2.024,0.197,-0.255,25.757,91.675,-106.323,2.050,1773724750516
-2.535,0.158,-0.227,-40.833,59.814,-21.606,2.550,1773724750545
-1.919,0.069,-0.382,-179.504,-24.902,185.364,1.957,1773724750608
-1.604,0.149,-0.393,-227.600,-183.105,379.089,1.658,1773724750638
-2.909,0.392,0.038,-114.075,-629.761,588.867,2.935,1773724750668
-4.000,0.495,0.462,20.325,-892.151,484.863,4.057,1773724750728
-3.994,0.483,0.578,128.784,-1024.231,274.597,4.064,1773724750756
-4.000,0.436,0.578,292.847,-1037.964,-59.265,4.065,1773724750786
-3.901,0.325,0.569,178.894,-814.880,-355.286,3.956,1773724750853
-2.719,0.204,0.548,140.808,-457.214,-469.299,2.781,1773724750875
-2.197,0.035,0.440,218.750,-149.841,-551.758,2.241,1773724750906
-1.482,-0.164,0.299,153.137,188.843,-444.214,1.520,1773724750970
-1.626,-0.115,0.100,141.052,352.783,-223.511,1.633,1773724750995
-1.675,-0.035,-0.058,122.070,376.709,-71.167,1.676,1773724751025
-1.188,-0.043,-0.140,201.782,274.536,71.899,1.196,1773724751089
-1.420,0.156,-0.208,128.784,176.392,145.264,1.444,1773724751120
-1.209,0.185,-0.178,132.507,15.991,92.957,1.236,1773724751147
-0.998,0.236,-0.163,82.397,-87.585,-22.949,1.038,1773724751207
-1.261,0.211,-0.039,99.548,-191.528,-136.414,1.280,1773724751238
-1.453,0.108,0.028,32.776,-127.441,-258.179,1.458,1773724751266
-1.471,0.003,0.023,43.945,-69.153,-328.857,1.471,1773724751328
-1.545,-0.088,0.006,58.838,-10.620,-323.364,1.547,1773724751422
-1.369,-0.179,-0.185,111.267,152.344,-101.746,1.393,1773724751444
-1.208,-0.136,-0.268,138.550,140.198,73.181,1.245,1773724751475
-1.236,0.011,-0.289,163.635,79.895,195.740,1.270,1773724751538
-1.453,0.166,-0.230,166.809,-2.258,244.995,1.481,1773724751570
-1.207,0.214,-0.216,123.840,-48.828,214.050,1.244,1773724751596
-1.102,0.256,-0.170,83.191,-98.633,181.213,1.144,1773724751664
-1.083,0.266,-0.104,54.626,-118.408,84.778,1.120,1773724751687
-1.005,0.217,-0.053,24.963,-104.248,17.700,1.030,1773724751722
